datetime,disease,solution
2025-05-03 12:21:03,die back,Spray Carbendazim (0.1%) or Propiconazole (0.1%) and prune dry twigs 5-10 cm below infection. Seal cut surfaces with Bordeaux paste or copper oxychloride. Improve tree vigor through balanced fertilization and irrigation. Avoid tree stress and maintain proper orchard sanitation.
2025-05-03 12:20:52,healthy,No disease detected. Maintain regular preventive sprays with neem oil or Bordeaux mixture during key growth stages. Apply balanced fertilizers and maintain adequate irrigation. Prune for good air circulation and light penetration. Monitor regularly for early pest detection.
2025-05-03 12:20:24,healthy,No disease detected. Maintain regular preventive sprays with neem oil or Bordeaux mixture during key growth stages. Apply balanced fertilizers and maintain adequate irrigation. Prune for good air circulation and light penetration. Monitor regularly for early pest detection.
2025-05-03 12:20:11,healthy,No disease detected. Maintain regular preventive sprays with neem oil or Bordeaux mixture during key growth stages. Apply balanced fertilizers and maintain adequate irrigation. Prune for good air circulation and light penetration. Monitor regularly for early pest detection.
2025-05-03 12:20:00,cutting weevil,Use Imidacloprid or Thiamethoxam to control the pest. Apply systemic insecticides as soil drenches or foliar sprays. Remove and destroy infested plant parts. Encourage natural predators like birds and beneficial insects. Apply neem oil or pyrethrum as organic alternatives.
2025-05-03 12:14:39,cutting weevil,Use Imidacloprid or Thiamethoxam to control the pest. Apply systemic insecticides as soil drenches or foliar sprays. Remove and destroy infested plant parts. Encourage natural predators like birds and beneficial insects. Apply neem oil or pyrethrum as organic alternatives.
2025-05-03 12:13:52,sooty mould,Target the underlying aphids/whiteflies with insecticidal soap or neem oil. Wash leaves with a mild soap solution (1%) to remove fungal growth. Spray with Imidacloprid or Thiamethoxam to control sap-sucking insects. Encourage beneficial insects like ladybugs and lacewings.
2025-05-02 17:16:52,bacterial canker,"Apply copper fungicides like Blitox-50 or Bordeaux Mixture (1%) at 15-day intervals during humid weather. Prune and burn infected branches. Maintain proper tree spacing and avoid overhead irrigation. For severe cases, spray with Streptocycline (100 ppm) mixed with copper oxychloride."
2025-05-02 17:15:25,bacterial canker,"Apply copper fungicides like Blitox-50 or Bordeaux Mixture (1%) at 15-day intervals during humid weather. Prune and burn infected branches. Maintain proper tree spacing and avoid overhead irrigation. For severe cases, spray with Streptocycline (100 ppm) mixed with copper oxychloride."
2025-05-02 16:18:57,sooty mould,Target the underlying aphids/whiteflies with insecticidal soap or neem oil. Wash leaves with a mild soap solution (1%) to remove fungal growth. Spray with Imidacloprid or Thiamethoxam to control sap-sucking insects. Encourage beneficial insects like ladybugs and lacewings.
2025-05-02 16:18:22,sooty mould,Target the underlying aphids/whiteflies with insecticidal soap or neem oil. Wash leaves with a mild soap solution (1%) to remove fungal growth. Spray with Imidacloprid or Thiamethoxam to control sap-sucking insects. Encourage beneficial insects like ladybugs and lacewings.
2025-05-02 16:17:37,sooty mould,Target the underlying aphids/whiteflies with insecticidal soap or neem oil. Wash leaves with a mild soap solution (1%) to remove fungal growth. Spray with Imidacloprid or Thiamethoxam to control sap-sucking insects. Encourage beneficial insects like ladybugs and lacewings.
2025-05-02 10:46:59,sooty mould,Target the underlying aphids/whiteflies with insecticidal soap or neem oil. Wash leaves with a mild soap solution (1%) to remove fungal growth. Spray with Imidacloprid or Thiamethoxam to control sap-sucking insects. Encourage beneficial insects like ladybugs and lacewings.
2025-05-02 10:46:49,sooty mould,Target the underlying aphids/whiteflies with insecticidal soap or neem oil. Wash leaves with a mild soap solution (1%) to remove fungal growth. Spray with Imidacloprid or Thiamethoxam to control sap-sucking insects. Encourage beneficial insects like ladybugs and lacewings.
